chemical,activity,dosage,reference
BETA-SITOSTEROL,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
BETA-SITOSTEROL,Candidicide,not available,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
BETA-SITOSTEROL,Caspase-8-Inducer,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Estrogenic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Febrifuge,not available,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
BETA-SITOSTEROL,Gonadotrophic,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Hepatoprotective,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Hypocholesterolemic,2-6 g/man/day/orl,Martindale's 30th
BETA-SITOSTEROL,Hypocholesterolemic,"9-3,330 mg/man/day/orl",Martindale's 28th
BETA-SITOSTEROL,Hypoglycemic,not available,"Ivorra, M.D., Paya, M., and Villar, A. 1989. A Review of Natural Products and Plants as Potential Antidiabetic Drugs. Journal of Ethnopharmacology, 27: 243-275, 1989."
BETA-SITOSTEROL,Hypolipidemic,2-6 g/day,"Duke, 1992 *"
BETA-SITOSTEROL,Pesticide,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Spermicide,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Ubiquiot,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
BETA-SITOSTEROL,Ulcerogenic,500 mg/kg ipr rat,"Duke, 1992 *"
BETA-SITOSTEROL,Androgenic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Angiogenic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Anorexic,not available,Martindale's 28th
BETA-SITOSTEROL,Antiadenomic,not available,Merck 11th Edition
BETA-SITOSTEROL,Antiandrogenic,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Antibacterial,not available,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
BETA-SITOSTEROL,Anticancer (Breast),not available,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
BETA-SITOSTEROL,Anticancer (Cervix),not available,"Duke, 1992 *"
BETA-SITOSTEROL,Anticancer (Lung),not available,"Duke, 1992 *"
BETA-SITOSTEROL,Antiedemic,IC54=320 mg/kg orl,"Duke, 1992 *"
BETA-SITOSTEROL,Antiestrogenic,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Antifeedant,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
BETA-SITOSTEROL,Antifertility,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Antigonadotrophic,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Antihyperlipoproteinaemic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
BETA-SITOSTEROL,Antiinflammatory,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Antileukemic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Antilymphomic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Antimutagenic,250 ug/ml,"Duke, 1992 *"
BETA-SITOSTEROL,Antiophidic,2.3 mg mus,"Economic & Medicinal Plant Research, 5: 363."
BETA-SITOSTEROL,Antioxidant,IC44=10 uM,"Duke, 1992 *"
BETA-SITOSTEROL,Antiprogestational,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Antiprostaglandin,30 mg/day/12 wks,"Duke, 1992 *"
BETA-SITOSTEROL,Antiprostatadenomic,not available,Merck 11th Edition
BETA-SITOSTEROL,Antiprostatitic,10-20 mg 3 x/day/orl man,"Duke, 1992 *"
BETA-SITOSTEROL,Antipyretic,not available,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
BETA-SITOSTEROL,Antitumor (Breast),not available,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
BETA-SITOSTEROL,Antitumor (Cervix),not available,"Duke, 1992 *"
BETA-SITOSTEROL,Antitumor (Lung),not available,"Duke, 1992 *"
BETA-SITOSTEROL,Antiviral,not available,"Abid Ali Khan, M.M., Jain, D.C., Bhakuni, R.S., Zaim, M., and Thakur, R.S. 1991. Occurrence of some antiviral sterols in Artemisia annua. Plant Science, 75: 161-165, 1991."
BETA-SITOSTEROL,Apoptotic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Artemicide,LC50=110 ppm,"Jung, J.H., Pummangura, S., Chaichantipyuth, c., Patarapanich, C., and McLaughlin, J.L. 1989. Bioactive Constituents of Melodorum fruticosum. Phytochemistry. 29(5): 1667-1670. 1990."
BETA-SITOSTEROL,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
BETA-SITOSTEROL,Candidicide,not available,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
BETA-SITOSTEROL,Caspase-8-Inducer,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Estrogenic,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Febrifuge,not available,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
BETA-SITOSTEROL,Gonadotrophic,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Hepatoprotective,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Hypocholesterolemic,2-6 g/man/day/orl,Martindale's 30th
BETA-SITOSTEROL,Hypocholesterolemic,"9-3,330 mg/man/day/orl",Martindale's 28th
BETA-SITOSTEROL,Hypoglycemic,not available,"Ivorra, M.D., Paya, M., and Villar, A. 1989. A Review of Natural Products and Plants as Potential Antidiabetic Drugs. Journal of Ethnopharmacology, 27: 243-275, 1989."
BETA-SITOSTEROL,Hypolipidemic,2-6 g/day,"Duke, 1992 *"
BETA-SITOSTEROL,Pesticide,not available,"Duke, 1992 *"
BETA-SITOSTEROL,Spermicide,not available,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
BETA-SITOSTEROL,Ubiquiot,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
BETA-SITOSTEROL,Ulcerogenic,500 mg/kg ipr rat,"Duke, 1992 *"
BETAINE,Abortifacient,not available,"Duke, 1992 *"
BETAINE,Antigastritic,not available,Martindale's 29th
BETAINE,Antihomocystinuric,not available,"Duke, 1992 *"
BETAINE,Antimyoatrophic,not available,"Duke, 1992 *"
BETAINE,Bruchiphobe,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
BETAINE,Cardioprotective,not available,"Duke, 1992 *"
BETAINE,Diuretic,not available,Wealth of India.
BETAINE,Emmenagogue,not available,Wealth of India.
BETAINE,Ethanolytic,not available,"Duke, 1992 *"
BETAINE,Expectorant,not available,"Duke, 1992 *"
BETAINE,Hepatoprotective,not available,"Duke, 1992 *"
BETAINE,Lipotropic,not available,"Duke, 1992 *"
BETAINE,Mucogenic,not available,"Duke, 1992 *"
BETAINE,Pesticide,not available,"Duke, 1992 *"
BETULINIC-ACID,Anthelmintic,not available,"Duke, 1992 *"
BETULINIC-ACID,Antibacterial,not available,"Duke, 1992 *"
BETULINIC-ACID,Anticancer,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
BETULINIC-ACID,Anticarcinomic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
BETULINIC-ACID,Antiedemic,not available,"Duke, 1992 *"
BETULINIC-ACID,AntiHIV,IC50=6.5 ug/ml,"Duke, 1992 *"
BETULINIC-ACID,AntiHIV,14.8 uM,"Duke, 1992 *"
BETULINIC-ACID,AntiHIV,EC50=2.0 ug/ml,"Kashiwada, Y., et. al. 1998. Anti-AIDS Agents. 30. Anti-HIV Activity of Oleanolic Acid, Pomolic Acid, and Structurally Related Triterpenoids. J. Nat. Prod., 61 (9): 1090-1095."
BETULINIC-ACID,Antiinflammatory,not available,"Recio, M., et al. 1994. Investigations on the Steroidal Anti-Inflammatory Activity of Triterpenoids from Diospyros leucomelas*. Planta Medica, 61: 9."
BETULINIC-ACID,Antileukemic,not available,"Duke, 1992 *"
BETULINIC-ACID,Antimalarial,IC50=19-26 ug/ml,"Duke, 1992 *"
BETULINIC-ACID,Antimelanomic,not available,"New York Times, 3/28/95."
BETULINIC-ACID,Antinociceptive,not available,"Duke, 1992 *"
BETULINIC-ACID,Antiplasmodial,IC50=19-26 ug/ml,"Duke, 1992 *"
BETULINIC-ACID,Antitumor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
BETULINIC-ACID,Antiviral,14.8 uM,"Duke, 1992 *"
BETULINIC-ACID,Apoptotic,not available,"Duke, 1992 *"
BETULINIC-ACID,Cytotoxic,16.4 uM,"Duke, 1992 *"
BETULINIC-ACID,Cytotoxic,50-100 ppm,Biosyn. Prod. Cancer Chemotherapy (Petit et al)
BETULINIC-ACID,Phospholipase-A2-Inhibitor,not available,"Duke, 1992 *"
BETULINIC-ACID,Prostaglandin-Synthesis-Inhibitor,200 ug/ml,"Dunstan, C. A., Liu, B., Welch, C. J., Perera, P., Bohlin, L. 1998. Alphitol, a Phenolic Substance from Alphitonia zizyphoides which Inhibits Prostaglandin Biosynthesis in vitro. Phytochemistry, 48(3): 495-497."
BETULINIC-ACID,Prostaglandin-Synthesis-Inhibitor,IC50=101 uM,"Huang, C., Tunon, H., Bohlin, L. 1995. Anti-Inflammatory Compounds Isolated from Menyanthes trifoliata L. Yao Hsueh Hsueh Pao, 30(8): 621-626."
BIOTIN,Antialopecic,not available,"Duke, 1992 *"
BIOTIN,Antidermatitic,3 mg/2x/day,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
BIOTIN,Antineuralgic,not available,"Duke, 1992 *"
BIOTIN,Antiseborrheic,3 mg/2x/day,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
BORON,Androgenic,3 mg/man/day,"Duke, 1992 *"
BORON,Antiosteoarthritic,not available,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
BORON,Antiosteoporotic,3 mg/man/day,"Duke, 1992 *"
BORON,Estrogenic,3 mg/man/day,"Duke, 1992 *"
CADMIUM,Hypertensive,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
CADMIUM,Lithogenic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
CADMIUM,Nephrotoxic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
CAFFEIC-ACID,Aldose-Reductase-Inhibitor,4 ug/ml (weak activity),"Ichikawa, K., et al. 1991. Isolation and Structure Determination of Aldose Reductase Inhibitors from Traditional Thai Medicine, and Syntheses of Their Derivatives. Sankyo Kenkyusho Nempo, 43: 99-110."
CAFFEIC-ACID,Allergenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Analgesic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiadenoviral,not available,"Economic & Medicinal Plant Research, 5: 207."
CAFFEIC-ACID,Antiaggregant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
CAFFEIC-ACID,Antiaging,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiatherogenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antibacterial,not available,"Duke, 1992 *"
CAFFEIC-ACID,Anticancer,not available,"Duke, 1992 *"
CAFFEIC-ACID,Anticarcinogenic,not available,"Economic & Medicinal Plant Research, 6: 189."
CAFFEIC-ACID,Antidepressant,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiedemic,not available,"Economic & Medicinal Plant Research, 6: 189."
CAFFEIC-ACID,Antielastase,IC50=93 um/l,"Duke, 1992 *"
CAFFEIC-ACID,Antielastase,IC50=86 ug/ml (475 uM),"Duke, 1992 *"
CAFFEIC-ACID,Antiescherichic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiflu,not available,"Economic & Medicinal Plant Research, 5: 207."
CAFFEIC-ACID,Antigonadotropic,not available,Jim Duke's personal files.
CAFFEIC-ACID,Antihemolytic,25 uM,"Ohnishi, M., Morishita, H., Iwahashi, H., Toda, S., Shirataki, Y., Kimura, M., and Kido, R. 1993. Inhibitory Effects of Chlorogenic Acids on Linoleic Acid Peroxidation and Haemolysis. Phytochemistry. 36(3): 579-583. 1994."
CAFFEIC-ACID,Antihepatoadenomic,200 ppm diet orl mus,"Duke, 1992 *"
CAFFEIC-ACID,Antihepatotoxic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiherpetic,EC50=>50 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antiherpetic,50 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antihistaminic,not available,"Duke, 1992 *"
CAFFEIC-ACID,AntiHIV,EC50=200 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antihypercholesterolemic,not available,"Economic & Medicinal Plant Research, 6: 189."
CAFFEIC-ACID,Antihyperthyroid,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiinflammatory,not available,"Duke, 1992 *"
CAFFEIC-ACID,AntiLegionella,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antileukemic,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
CAFFEIC-ACID,Antileukotriene,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antimelanogenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antimutagenic,not available,"Ki Soon Rhee. Oilseed Food Ingredients Used To Minimize Oxidative Flavor Deterioration in Meat Products. Phenolic Compounds in Food and Their Effects on Health, Ch.18."
CAFFEIC-ACID,Antinitrosaminic,not available,"Ki Soon Rhee. Oilseed Food Ingredients Used To Minimize Oxidative Flavor Deterioration in Meat Products. Phenolic Compounds in Food and Their Effects on Health, Ch.18."
CAFFEIC-ACID,Antiophidic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antioxidant,1.3 x Vit. E,"Duke, 1992 *"
CAFFEIC-ACID,Antioxidant,1/2 BHA,"Duke, 1992 *"
CAFFEIC-ACID,Antioxidant,50 uM,"Duke, 1992 *"
CAFFEIC-ACID,Antioxidant,1/3 quercetin,"Duke, 1992 *"
CAFFEIC-ACID,Antioxidant,IC57=30 ppm,"Duke, 1992 *"
CAFFEIC-ACID,Antioxidant,30 mM,"Duke, 1992 *"
CAFFEIC-ACID,Antiperoxidant,IC50=44 uM,"Planta Medica, 57: A54, 1991."
CAFFEIC-ACID,Antiperoxidant,IC35=200 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antiperoxidant,IC85=100 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antiproliferant,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
CAFFEIC-ACID,Antiprostaglandin,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiradicular,1/3 quercetin,"Duke, 1992 *"
CAFFEIC-ACID,Antiradicular,10 uM,"Ohnishi, M., Morishita, H., Iwahashi, H., Toda, S., Shirataki, Y., Kimura, M., and Kido, R. 1993. Inhibitory Effects of Chlorogenic Acids on Linoleic Acid Peroxidation and Haemolysis. Phytochemistry. 36(3): 579-583. 1994."
CAFFEIC-ACID,Antiradicular,30 mM,"Duke, 1992 *"
CAFFEIC-ACID,Antiradicular,IC50=32-35 uM,"Duke, 1992 *"
CAFFEIC-ACID,Antiseptic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antispasmodic,EC50=3.4-15 uM,"Phytotherapy Research, 4: 73."
CAFFEIC-ACID,Antistaphylococcic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antistomatitic,not available,"Economic & Medicinal Plant Research, 5: 207."
CAFFEIC-ACID,Antisunburn,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antithiamin,not available,"Phenolic Compounds in Food and Their Effects on Health, 69."
CAFFEIC-ACID,Antithyroid,not available,Jim Duke's personal files.
CAFFEIC-ACID,Antitumor,200 ppm diet orl mus,"Duke, 1992 *"
CAFFEIC-ACID,Antitumor (Skin),not available,"Duke, 1992 *"
CAFFEIC-ACID,Antitumor-Promoter,IC42=10 uM,"Cancer Research, 48: 5941."
CAFFEIC-ACID,Antiulcerogenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antivaccinia,not available,"Economic & Medicinal Plant Research, 5: 207."
CAFFEIC-ACID,Antiviral,IC50=62.5 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Anxiolytic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Calcium-Antagonist,IC50=1.2 uM rbt,"Duke, 1992 *"
CAFFEIC-ACID,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
CAFFEIC-ACID,Carcinogenic,2% (diet),"Duke, 1992 *"
CAFFEIC-ACID,Chemopreventive,not available,"Duke, 1992 *"
CAFFEIC-ACID,Cholagogue,not available,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
CAFFEIC-ACID,Choleretic,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
CAFFEIC-ACID,Clastogenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
CAFFEIC-ACID,CNS-Active,not available,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
CAFFEIC-ACID,Co-carcinogenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Collagen-Sparing,not available,"Duke, 1992 *"
CAFFEIC-ACID,COX-2-Inhibitor,IC32=100 uM,"Duke, 1992 *"
CAFFEIC-ACID,Cytoprotective,not available,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
CAFFEIC-ACID,Cytotoxic,TC50=200 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Diuretic,not available,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
CAFFEIC-ACID,DNA-Active,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
CAFFEIC-ACID,DNA-Protective,not available,"Duke, 1992 *"
CAFFEIC-ACID,Fungicide,MIC=0.4 mg/ml,"Duke, 1992 *"
CAFFEIC-ACID,Hepatocarcinogenic,400 ppm diet orl mus (in the absence of alcohol),"Duke, 1992 *"
CAFFEIC-ACID,Hepatoprotective,not available,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 210."
CAFFEIC-ACID,Hepatotropic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Histamine-Inhibitor,not available,"Duke, 1992 *"
CAFFEIC-ACID,Immunostimulant,not available,"Duke, 1992 *"
CAFFEIC-ACID,Insectifuge,not available,"Tunon, H., Thorsell, W., and Bohlin, L. 1993. Mosquito Repelling Activity of Compounds Occurring in Achillea millefolium L. (Asteraceae). Economic Botany 48(2): 111-120, 1994."
CAFFEIC-ACID,Leukotriene-Inhibitor,not available,"Duke, 1992 *"
CAFFEIC-ACID,Lipoxygenase-Inhibitor,IC50=62-148 uM,"Duke, 1992 *"
CAFFEIC-ACID,Lipoxygenase-Inhibitor,IC27=5 mM,"Oszmianski, J. and Lee, C.Y. 1990. Inhibitory Effect of Phenolics on Carotene Bleaching in Vegetables. J. Agric. Food Chem. 38: 688-690."
CAFFEIC-ACID,Lyase-Inhibitor,IC50=94-164 uM,"Duke, 1992 *"
CAFFEIC-ACID,Metal-Chelator,not available,"McEvily, A.J., Iyengar, R., and Gross, A.T. Inhibition of Polyphenol Oxidase by Phenolic Compounds. Phenolic Compounds in Food and Their Effects on Health, Ch.25."
CAFFEIC-ACID,Ornithine-Decarboxylase-Inhibitor,not available,"Hagerman, A.E. Tannin-Protein Interactions. Phenolic Compounds in Food and Their Effects on Health, Ch.19."
CAFFEIC-ACID,Pesticide,not available,"Duke, 1992 *"
CAFFEIC-ACID,Prooxidant,not available,"Duke, 1992 *"
CAFFEIC-ACID,Prostaglandigenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Sedative,500 mg,"Duke, 1992 *"
CAFFEIC-ACID,Sunscreen,IC50=2.5 mg/l,"Lazarova*, G., Kostova, I., Neychev, H. 1992. Photodynamic damage prevention by some hydroxycoumarins. Fitoterapia 64(2): 134-136, 1993."
CAFFEIC-ACID,Sunscreen,IC91=5 mg/l,"Lazarova*, G., Kostova, I., Neychev, H. 1992. Photodynamic damage prevention by some hydroxycoumarins. Fitoterapia 64(2): 134-136, 1993."
CAFFEIC-ACID,Sunscreen,IC98=25 mg/l,"Lazarova*, G., Kostova, I., Neychev, H. 1992. Photodynamic damage prevention by some hydroxycoumarins. Fitoterapia 64(2): 134-136, 1993."
CAFFEIC-ACID,Tumorigenic,not available,Jim Duke's personal files.
CAFFEIC-ACID,Vulnerary,not available,"Duke, 1992 *"
CAFFEIC-ACID,Xanthine-Oxidase-Inhibitor,IC50=39.21 uM,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
CAFFEIC-ACID,Aldose-Reductase-Inhibitor,4 ug/ml (weak activity),"Ichikawa, K., et al. 1991. Isolation and Structure Determination of Aldose Reductase Inhibitors from Traditional Thai Medicine, and Syntheses of Their Derivatives. Sankyo Kenkyusho Nempo, 43: 99-110."
CAFFEIC-ACID,Allergenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Analgesic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiadenoviral,not available,"Economic & Medicinal Plant Research, 5: 207."
CAFFEIC-ACID,Antiaggregant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
CAFFEIC-ACID,Antiaging,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiatherogenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antibacterial,not available,"Duke, 1992 *"
CAFFEIC-ACID,Anticancer,not available,"Duke, 1992 *"
CAFFEIC-ACID,Anticarcinogenic,not available,"Economic & Medicinal Plant Research, 6: 189."
CAFFEIC-ACID,Antidepressant,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiedemic,not available,"Economic & Medicinal Plant Research, 6: 189."
CAFFEIC-ACID,Antielastase,IC50=93 um/l,"Duke, 1992 *"
CAFFEIC-ACID,Antielastase,IC50=86 ug/ml (475 uM),"Duke, 1992 *"
CAFFEIC-ACID,Antiescherichic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiflu,not available,"Economic & Medicinal Plant Research, 5: 207."
CAFFEIC-ACID,Antigonadotropic,not available,Jim Duke's personal files.
CAFFEIC-ACID,Antihemolytic,25 uM,"Ohnishi, M., Morishita, H., Iwahashi, H., Toda, S., Shirataki, Y., Kimura, M., and Kido, R. 1993. Inhibitory Effects of Chlorogenic Acids on Linoleic Acid Peroxidation and Haemolysis. Phytochemistry. 36(3): 579-583. 1994."
CAFFEIC-ACID,Antihepatoadenomic,200 ppm diet orl mus,"Duke, 1992 *"
CAFFEIC-ACID,Antihepatotoxic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiherpetic,EC50=>50 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antiherpetic,50 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antihistaminic,not available,"Duke, 1992 *"
CAFFEIC-ACID,AntiHIV,EC50=200 ug/ml,"Duke, 1992 *"
CAFFEIC-ACID,Antihypercholesterolemic,not available,"Economic & Medicinal Plant Research, 6: 189."
CAFFEIC-ACID,Antihyperthyroid,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antiinflammatory,not available,"Duke, 1992 *"
CAFFEIC-ACID,AntiLegionella,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antileukemic,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
CAFFEIC-ACID,Antileukotriene,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antimelanogenic,not available,"Duke, 1992 *"
CAFFEIC-ACID,Antimutagenic,not available,"Ki Soon Rhee. Oilseed Food Ingredients Used To Minimize Oxidative Flavor Deterioration in Meat Products. Phenolic Compounds in Food and Their Effects on Health, Ch.18."
CAFFEIC-ACID,Antinitrosaminic,not available,"Ki Soon Rhee. Oilseed Food Ingredients Used To Minimize Oxidative Flavor Deterioration in Meat Products. Phenolic Compounds in Food and Their Effects on Health, Ch.18."
CAFFEIC-ACID,Antiophidic,not available,"Duke, 1992 *"
